D:\python3.10\python.exe D:\AutoTestProjects\Matter_Network\matter_google_deng.py
2024-06-26 12:20:22.150 | INFO     | __main__:delete:168 - 点击移除设备
2024-06-26 12:20:28.860 | INFO     | __main__:delete:175 - 点击解除关联
2024-06-26 12:20:33.384 | INFO     | __main__:delete:181 - 关闭设备页面(删除后google未同步刷新)
2024-06-26 12:21:02.824 | INFO     | __main__:delete:191 - 进入设备列表
2024-06-26 12:21:06.048 | INFO     | __main__:re_factory:14 - 开始恢复出厂
2024-06-26 12:21:16.351 | INFO     | __main__:re_factory:32 - 恢复出厂后等待30秒
2024-06-26 12:21:46.927 | INFO     | __main__:make:68 - 点击设备
2024-06-26 12:21:47.167 | INFO     | __main__:make:72 - 点击添加
2024-06-26 12:21:48.549 | INFO     | __main__:make:76 - 支持 Matter 的设备
2024-06-26 12:21:50.794 | INFO     | __main__:make:82 - 选择手动输入matter配对码
2024-06-26 12:21:52.602 | INFO     | __main__:make:89 - 输入matter配对码
2024-06-26 12:21:53.173 | INFO     | __main__:make:96 - 点击下一步
2024-06-26 12:21:54.550 | INFO     | __main__:make:100 - 点击同意
2024-06-26 12:22:14.136 | INFO     | __main__:make:109 - 点击仍然设置
2024-06-26 12:22:47.235 | INFO     | __main__:make:122 - 联网耗时: 33.10s
2024-06-26 12:22:47.294 | INFO     | __main__:make:125 - 连接成功
2024-06-26 12:22:47.539 | INFO     | __main__:make:127 - 点击完成
2024-06-26 12:22:48.594 | INFO     | __main__:make:130 - 选择房间
2024-06-26 12:22:49.393 | INFO     | __main__:make:137 - 点击下一步
2024-06-26 12:22:49.676 | INFO     | __main__:make:141 - 点击下一步
2024-06-26 12:23:43.110 | INFO     | __main__:make:148 - 进入设备列表
2024-06-26 12:23:43.110 | INFO     | __main__:calculate:207 - 开始计算
2024-06-26 12:23:43.111 | INFO     | __main__:calculate:211 - 成功4次
2024-06-26 12:23:43.111 | INFO     | __main__:calculate:217 - 第4次配网，成功4次，平均耗时35.47，最大耗时44.86，最小耗时28.18
2024-06-26 12:23:43.111 | INFO     | __main__:delete:152 - 开始删除设备
2024-06-26 12:23:46.415 | INFO     | __main__:delete:155 - 长按3秒进入设备详情页
2024-06-26 12:23:49.813 | INFO     | __main__:delete:165 - 点击设置
2024-06-26 12:23:51.211 | INFO     | __main__:delete:168 - 点击移除设备
2024-06-26 12:23:55.913 | INFO     | __main__:delete:175 - 点击解除关联
2024-06-26 12:24:00.625 | INFO     | __main__:delete:181 - 关闭设备页面(删除后google未同步刷新)
2024-06-26 12:24:29.750 | INFO     | __main__:delete:191 - 进入设备列表
2024-06-26 12:24:32.922 | INFO     | __main__:re_factory:14 - 开始恢复出厂
2024-06-26 12:24:43.223 | INFO     | __main__:re_factory:32 - 恢复出厂后等待30秒
2024-06-26 12:25:13.811 | INFO     | __main__:make:68 - 点击设备
2024-06-26 12:25:14.071 | INFO     | __main__:make:72 - 点击添加
2024-06-26 12:25:16.167 | INFO     | __main__:make:76 - 支持 Matter 的设备
2024-06-26 12:25:18.528 | INFO     | __main__:make:82 - 选择手动输入matter配对码
2024-06-26 12:25:20.363 | INFO     | __main__:make:89 - 输入matter配对码
2024-06-26 12:25:20.951 | INFO     | __main__:make:96 - 点击下一步
2024-06-26 12:25:22.378 | INFO     | __main__:make:100 - 点击同意
2024-06-26 12:25:40.982 | INFO     | __main__:make:109 - 点击仍然设置
2024-06-26 12:26:14.814 | INFO     | __main__:make:122 - 联网耗时: 33.83s
2024-06-26 12:26:14.865 | INFO     | __main__:make:125 - 连接成功
2024-06-26 12:26:15.140 | INFO     | __main__:make:127 - 点击完成
2024-06-26 12:26:17.277 | INFO     | __main__:make:130 - 选择房间
2024-06-26 12:26:17.793 | INFO     | __main__:make:137 - 点击下一步
2024-06-26 12:26:18.097 | INFO     | __main__:make:141 - 点击下一步
2024-06-26 12:27:11.946 | INFO     | __main__:make:148 - 进入设备列表
2024-06-26 12:27:11.947 | INFO     | __main__:calculate:207 - 开始计算
2024-06-26 12:27:11.948 | INFO     | __main__:calculate:211 - 成功5次
2024-06-26 12:27:11.948 | INFO     | __main__:calculate:217 - 第5次配网，成功5次，平均耗时35.14，最大耗时44.86，最小耗时28.18
2024-06-26 12:27:11.949 | INFO     | __main__:delete:152 - 开始删除设备
2024-06-26 12:27:15.195 | INFO     | __main__:delete:155 - 长按3秒进入设备详情页
2024-06-26 12:27:18.623 | INFO     | __main__:delete:165 - 点击设置
2024-06-26 12:27:24.343 | INFO     | __main__:delete:168 - 点击移除设备
2024-06-26 12:27:29.007 | INFO     | __main__:delete:175 - 点击解除关联
2024-06-26 12:27:33.416 | INFO     | __main__:delete:181 - 关闭设备页面(删除后google未同步刷新)
2024-06-26 12:28:03.290 | INFO     | __main__:delete:191 - 进入设备列表
2024-06-26 12:28:06.411 | INFO     | __main__:re_factory:14 - 开始恢复出厂
2024-06-26 12:28:16.707 | INFO     | __main__:re_factory:32 - 恢复出厂后等待30秒
2024-06-26 12:28:47.296 | INFO     | __main__:make:68 - 点击设备
2024-06-26 12:28:47.536 | INFO     | __main__:make:72 - 点击添加
2024-06-26 12:28:49.600 | INFO     | __main__:make:76 - 支持 Matter 的设备
2024-06-26 12:28:51.875 | INFO     | __main__:make:82 - 选择手动输入matter配对码
2024-06-26 12:28:53.687 | INFO     | __main__:make:89 - 输入matter配对码
